title,year,mpaa,wealth,agency,core,music,inclusion,romance,rt_critic,rt_audience,revenue_musd,revenue_adj_musd,icon,commentary
Rocky,1976,,8,15,17,6,5,4,,,,,,"{""overall"": ""Rocky is a genuinely self-made ascension story — a nobody from South Philly earns his shot through grit and heart — but the rubric penalises endorsed ascension regardless of whether it is inherited or climbed, and the film's entire emotional architecture is built around Rocky's rise to legitimacy and status. The emotional core, however, is exceptionally honest: the film is really about self-worth and proving something to yourself, not the crowd, which saves it considerably."", ""wealth"": ""Self-made ascension scores in the 0-8 band per the rubric; Rocky climbs from poverty to a title shot and the film fully endorses that outcome, so it lands at 8 — the top of the penalised range — because the grind is depicted with real texture and the reward is respect rather than wealth."", ""agency"": ""Rocky drives almost every meaningful choice — he trains on his own terms, pursues Adrian, accepts the fight against Apollo — but Mickey's intervention and the structural luck of being chosen as a opponent dilute pure self-determination enough to keep it from 17."", ""core"": ""The film's true subject is self-worth: Rocky's famous 'going the distance' speech to Adrian makes explicit that the fight is about proving to himself he is not 'just another bum from the neighbourhood,' which is a deep and honest emotional core."", ""music"": ""Bill Conti's score is iconic and emotionally effective but the film has no original songs carrying narrative weight — it is a score-driven soundtrack with one instrumental theme, landing solidly in the score-only band."", ""inclusion"": ""Band 5/10 (Neutral): The cast is racially mixed in a naturalistic South Philly way and Apollo Creed is a fully realised Black character, but inclusion is not a lesson and no prejudice is examined or challenged."", ""romance"": ""Adrian is a meaningful character and the romance is tender and mutual, but it functions partly as a validation arc for a shy, passive woman who is 'unlocked' by Rocky's attention, stopping it from reaching the balanced 5 range.""}"
American History X,1998,,38,15,17,5,10,5,,,,,,"{""overall"": ""American History X is a brutally honest drama about radicalization, hate, and the possibility of redemption, built around genuinely working-class characters with no inherited status or wealth doing narrative work. Its anti-prejudice message is not incidental but is the entire engine of the film, earning top marks in inclusion and emotional core, though the tragic ending complicates but does not undermine its structural lessons."", ""wealth"": ""The Vinyard family is ordinary working-class; no status or wealth is inherited or endorsed as reward — the story could happen to any family in that neighborhood, anchoring near the 40 band."", ""agency"": ""Derek's transformation is driven by his own choices and moral reckoning in prison, but Danny's fate is ultimately determined by external violence rather than his own agency, pulling the score slightly below the top band."", ""core"": ""The emotional core is identity, inherited hatred, grief over a father's death, and the question of whether people can change — as honest and deep as any film in the rubric's top tier."", ""music"": ""The film relies on a spare, effective score by Anne Dudley with no original songs; functional and atmospheric but not a musical storytelling vehicle."", ""inclusion"": ""Band 10/10 (inclusion/anti-prejudice IS the lesson): white supremacy, racism, and the mechanics of radicalization are the explicit subject matter of the entire film, making anti-prejudice not a subplot but the central thesis."", ""romance"": ""Romance is present but entirely peripheral — Derek's girlfriend is a minor figure and no relationship is framed as a prize or destination.""}"
Shawshank Redemption,1994,,8,15,17,5,2,6,,,,,,"{""overall"": ""Shawshank is a profound adult drama about hope and endurance that scores well on agency and emotional depth but is structurally problematic for child viewers: its endorsed reward is Andy's escape to a wealthy, idyllic life funded by money he laundered from a corrupt warden, and its racial landscape is deeply uncomfortable — a Black man's wisdom and suffering exist primarily to illuminate a white man's journey. The film is simply not designed for children, and the rubric surfaces those tensions sharply."", ""wealth"": ""Andy's final reward is literal financial ascension — he escapes with laundered money to a paradise in Zihuatanejo, and the film endorses this outcome without critique, landing it near the status-ascension-as-prize band (0-8), nudged slightly up because the grind of survival is depicted at length."", ""agency"": ""Andy is the architect of his own escape through nearly two decades of patient, deliberate planning — strong personal agency — but the climax is partially luck-dependent (the warden's suicide, Red's parole) and Red's parallel arc dilutes sole protagonist ownership, keeping it from a full 17."", ""core"": ""The emotional core is genuinely deep and honest: institutionalisation versus hope, the slow death of the spirit versus the will to remain human — this is among the most earnest explorations of those themes in mainstream cinema."", ""music"": ""Thomas Newman's score is atmospheric and memorable but the film relies entirely on underscore and diegetic classical/opera moments (the Mozart scene); there are no original songs."", ""inclusion"": ""Band 2/10 (harmful othering present): Red and the other Black inmates function almost entirely as supporting wisdom-dispensers and emotional witnesses for Andy's white protagonist journey — a textbook 'magical Negro' structure — while the prison's racial violence and hierarchy are depicted without meaningful interrogation."", ""romance"": ""Romance is entirely absent from the narrative; Andy's wife appears only as a murder victim in backstory, and no romantic pursuit drives the plot.""}"
Parasite,2019,,8,13,17,5,6,5,,,,,,"{""overall"": ""Parasite is a masterwork of class-critique cinema, but through the Kidflix lens it is deeply problematic: the endorsed structural outcome is that wealth ascension through deception is the Kim family's entire motivation, and the film's bitter irony — that they fail and are destroyed — is far too sophisticated for a child to read as a cautionary lesson rather than a glamorisation of the hustle. The emotional core is genuinely profound (class shame, invisible labour, the violence of inequality), but the protagonist's arc is driven by status-climbing fraud, landing it near the bottom of Dimension 1."", ""wealth"": ""The entire plot engine is the Kim family's fraudulent infiltration of the wealthy Park household for money and status — ascension-as-goal is unambiguous, and while the film punishes it, the punishment is tragedy not moral clarity, placing it in the 0-8 band alongside Scarface-style cautionary glamour."", ""agency"": ""Ki-woo and the Kim family actively drive every scheme and plot turn through their own choices, earning a strong agency score, but the climactic collapse is partly triggered by external revelation (Moon-gwang's return) rather than purely self-determined resolution, warranting a slight reduction from the maximum."", ""core"": ""The emotional core is class shame, invisible poverty, and the dehumanising indifference of wealth — as honest and deep as any film in the rubric, earning the top band."", ""music"": ""The film uses a composed orchestral score (Jung Jae-il) with no original songs; it is atmospheric and effective but falls into the score-only band."", ""inclusion"": ""Band 7/10 (meaningful representation): The film centres a Korean working-class family with specificity and dignity, and class as a structural force is the explicit subject, but the lesson is sociological critique rather than an anti-prejudice message directed at a child viewer."", ""romance"": ""A minor romantic subplot exists for Ki-woo but it is entirely subordinate to the class thriller mechanics and carries no 'being chosen is the prize' framing.""}"
Trainspotting,1996,,8,13,15,7,3,5,,,,,,"{""overall"": ""Trainspotting is emphatically not a children's film, and the rubric exposes this clearly: its endorsed outcome is Renton's self-interested theft and escape — a climbed, self-made ascension to cash and freedom — which scores low on inherited specialness but for the wrong reasons, while its brutal depiction of addiction, dead babies, and predatory sex creates active harm across multiple dimensions. The rubric was designed for children's cinema and applying it here produces scores that reflect genuine structural toxicity rather than craft failure."", ""wealth"": ""Renton starts in working-class Edinburgh squalor and ends by stealing £16,000 and fleeing — self-made ascension is the endorsed reward, landing this in the 0-8 band alongside Scarface and Goodfellas, where status/money escape is the climactic prize."", ""agency"": ""Renton drives his own story almost entirely through deliberate choices — choosing heroin, choosing to quit, choosing to betray his friends — strong personal agency throughout, though the final act is partly enabled by circumstance and luck in the drug deal, keeping it from a full 17."", ""core"": ""Beneath the style is a genuinely honest core about addiction as identity, the seductive pull of self-destruction, and the cost of choosing life — real emotional substance, though the film's ironic detachment prevents it from reaching the full emotional honesty of Inside Out or Coco."", ""music"": ""The licensed soundtrack (Iggy Pop, Underworld, Blur, Pulp) is iconic and narratively purposeful, functioning almost like a character, but there are no original story-carrying songs — scores as a strong licensed soundtrack above the Cars/Inside Out baseline."", ""inclusion"": ""Band 3/10 (harmful stereotyping present): Women are almost exclusively framed as victims, sex objects, or plot devices (Diane as statutory-rape conquest played for laughs, the dead baby as maternal failure spectacle), and the underclass is depicted with othering grotesquerie rather than dignity."", ""romance"": ""Romance is present but peripheral and largely transactional — Diane is a conquest, not a partner — not quite the 'being-chosen-as-prize' structure of Cinderella but far from balanced; scores mid-low.""}"
There Will Be Blood,2007,,2,13,15,6,3,6,,,,,,"{""overall"": ""There Will Be Blood is a masterwork of American cinema but scores catastrophically on the Kidflix Rubric: its entire narrative arc is the self-made ascension of a sociopathic oil baron, with wealth and dominance as the explicit, unironic endpoint of every choice Plainview makes. The film is not for children and the rubric exposes exactly why — it structurally endorses ruthless accumulation as the proof of a man's worth."", ""wealth"": ""Scores 2 (status-ascension-as-endorsed-reward band, 0-8): Plainview climbs from lone prospector to oil magnate entirely through cunning and brutality, and the film's final image of him triumphant amid wreckage frames this ascension as the logical, even inevitable, conclusion — there is no critique that lands, only awe."", ""agency"": ""Scores 13: Plainview drives every plot development through deliberate, calculated choices — he is never passive — but the 'agency' is wholly in service of domination rather than growth, and H.W.'s arc partially splits the moral weight of the story."", ""core"": ""Scores 15: beneath the oil derricks is a genuinely deep examination of greed, loneliness, and the corrosive cost of treating every human relationship as a transaction — real emotional substance, even if the arc resolves in nihilism rather than redemption."", ""music"": ""Scores 6: Jonny Greenwood's score is striking and unconventional but is purely instrumental and non-diegetic; no songs, no musical storytelling in the traditional sense — score-only band applies."", ""inclusion"": ""Band 3/10 (harmful othering present): the film's world is almost entirely white male; Eli Sunday is mocked and ultimately murdered, religious community members are portrayed as rubes to be exploited, and there is no counter-voice — passive exclusion shades into active othering of the devout and the vulnerable."", ""romance"": ""Scores 6: romance is entirely absent from the narrative; Plainview's relationships are purely transactional and no romantic subplot exists.""}"
The Big Lebowski,1998,,8,10,13,7,3,3,,,,,,"{""overall"": ""The Big Lebowski is a sardonic adult noir comedy that structurally endorses a wealthy-patriarch-as-fraud critique while centering a deliberately passive slacker protagonist; it is not a children's film and scores poorly on inclusion due to active objectification and stereotyping present in the text, making it a poor fit for the Kidflix rubric's intended audience."", ""wealth"": ""The 'Big' Lebowski's wealth is explicitly exposed as fraudulent and hollow, which earns some critique credit, but the Dude's entire arc is entangled with status-adjacent reward-seeking (the rug, the ransom) and the story's resolution offers no meaningful earned-agency alternative, landing it in the 0-8 range rather than the 20-30 critique band."", ""agency"": ""The Dude is famously reactive and buffeted by events rather than driving them; he stumbles toward a resolution that is largely accidental, earning a mid-low agency score rather than the bottom because he does make choices that nominally advance the plot."", ""core"": ""Beneath the shaggy-dog plot there is a genuine, if ironic, meditation on identity, male ego, and the gap between self-image and reality — real substance, but delivered obliquely and without emotional resolution for a child viewer."", ""music"": ""The film uses a rich, eclectic licensed soundtrack (Eagles, CCR, Bob Dylan, Creedence) plus diegetic bowling-alley scoring and surreal dream-sequence musical numbers; no original songs, but the music is meaningfully woven into tone and character."", ""inclusion"": ""Band 3/10 (harmful stereotyping present): Maude's feminist caricature, the pornographer milieu's treatment of women as props, and the Jesus Quintana character's broad ethnic-sexual caricature constitute active stereotyping and othering present in the text."", ""romance"": ""Maude's clinical seduction of the Dude is played for absurdist comedy rather than romantic prize-framing, and no relationship is presented as an aspirational reward, landing this in the mid range despite the objectifying context elsewhere.""}"
Pulp Fiction,1994,,8,10,8,5,2,4,,,,,,"{""overall"": ""Pulp Fiction is a film about criminals whose status and survival are the endorsed spectacle; the structural lesson for a child viewer is that cool, violent ascension through criminal hierarchy is glamorous and rewarding. The film has no meaningful child-oriented emotional core and its treatment of race, gender, and violence as stylized entertainment actively harms on multiple rubric dimensions."", ""wealth"": ""Status ascension and criminal cool are the endorsed reward throughout — Jules and Vincent are glorified as charismatic operators, placing this squarely in the 0-8 band alongside Goodfellas and Scarface."", ""agency"": ""Characters do make choices that drive the plot, but outcomes are heavily luck-dependent (Marvin's accidental shooting, the diner robbery resolution, the miraculous miss) — shared solving and luck push this to the 8 band."", ""core"": ""The surface emotional beats are redemption (Jules) and survival (Butch), which are real, but they are buried under ironic detachment and style-as-substance, landing at standard adventure/thriller beats rather than a deep honest core."", ""music"": ""The film uses a licensed retro soundtrack (Dick Dale, Urge Overkill, Al Green) that is iconic but entirely non-original and non-narrative in the rubric sense — score-only/licensed band applies."", ""inclusion"": ""Band 2/10 (harmful stereotyping present): Black characters are disproportionately victims, punchlines, or props; the Zed/Gimp sequence uses sexual violence as dark comedy spectacle; racial slurs are deployed repeatedly as stylistic texture rather than critique."", ""romance"": ""Mia and Vincent's dynamic is present but deliberately unconsummated and subverted; Butch and Fabienne's relationship is affectionate and peer-like — romance is present but not the prize, landing in the balanced middle band.""}"
Fight Club,1999,,8,10,15,5,2,3,,,,,,"{""overall"": ""Fight Club is a film about a dissociated everyman who constructs a violent alter-ego to escape consumerist numbness — structurally it critiques status and wealth but ultimately endorses a spectacular, nihilistic destruction fantasy as liberation, making it deeply unsuitable for child viewers and awkward to score on a rubric designed for them. The protagonist's 'agency' is undermined by the twist (he is his own antagonist), and the emotional core is genuinely substantial but wrapped in glorified male violence."", ""wealth"": ""Scores in the 0-8 band: the Narrator's rejection of consumer wealth is the explicit thesis, but the endorsed 'reward' is anarchic destruction and self-mythologising power — a form of status ascension through spectacle rather than genuine ordinariness, keeping it out of the critique-as-hollow band."", ""agency"": ""The twist reveals the Narrator has been both protagonist and antagonist, so his apparent choices are self-sabotage; meaningful agency exists but is structurally compromised by the dissociation conceit, landing between passive and strong."", ""core"": ""The emotional core — masculine identity crisis, consumerist alienation, and the search for feeling in a numbed life — is genuinely substantial and thematically rich, earning a strong score despite the violent wrapping."", ""music"": ""The Dust Brothers' score is atmospheric and effective but purely instrumental/licensed; no original songs carry narrative weight."", ""inclusion"": ""Band 2/10 (harmful stereotyping present): women are largely props or objects of the male gaze (Marla is defined almost entirely by her relationship to the Narrator's psyche), and the film's underclass of male rage is framed with a romanticisation that borders on othering of the vulnerable."", ""romance"": ""Marla is present as a love interest but the relationship is dysfunctional and deconstructed rather than aspirational; it is neither a prize nor actively subverted, landing in the middle range.""}"
Titanic,1997,,8,13,15,8,4,1,,,,,,"{""overall"": ""Titanic is a romance-as-salvation narrative where a penniless drifter wins a wealthy girl's heart and the story's endorsed reward is Rose's liberation — but that liberation is entirely mediated through Jack's love and death, and the film's structural lesson is that being chosen by the right man sets you free. The class critique is present but ultimately decorative, and the romance framing dominates every other dimension."", ""wealth"": ""Jack is self-made-poor and Rose is born into gilded-cage wealth; the film critiques upper-class hollowness (Cal, Ruth) but the narrative resolution — Rose's entire post-Titanic life of freedom — is framed as a gift unlocked by Jack's love, landing in the 0-8 band where status ascension (here, escape from it) is the endorsed reward mediated by being chosen."", ""agency"": ""Rose makes genuine, consequential choices — refusing the lifeboat, choosing Jack, ultimately surviving — but the climax's physical resolution depends heavily on Jack's sacrifice and luck with the handcuffs/door, splitting agency enough to pull below 15."", ""core"": ""The emotional core is genuinely about class imprisonment, self-determination, and the cost of love, which gives it real substance, but it is ultimately delivered through a conventional romance arc rather than a deeper identity or grief framework, placing it in the 13-15 band."", ""music"": ""Celine Dion's 'My Heart Will Go On' is iconic and emotionally load-bearing, and James Horner's score is sweeping and effective, but there is only one original song doing narrative work, which fits the 8-9 band."", ""inclusion"": ""Band 4/10 (Passive Exclusion): The world is almost entirely white; steerage passengers are used as a colorful ethnic backdrop (Irish jigs, ethnic caricature) rather than full characters, and no inclusion lesson is taught — this is passive exclusion with a mild whiff of othering-as-atmosphere."", ""romance"": ""Being chosen by Jack is structurally the entire prize — Rose's voice, identity, and future are all unlocked through his love and death — placing this firmly in the 0-2 band alongside Little Mermaid-style 'love as liberation' framing.""}"
