title,year,mpaa,wealth,agency,core,music,inclusion,romance,rt_critic,rt_audience,revenue_musd,revenue_adj_musd,icon,commentary,total,tier,critic_minus_audience,safe_bet_index
Rocky,1976,PG,40,17,16,8,5,5,92,90,225,1250,,"{""overall"": ""Broke club fighter; the grind IS the movie; goal is 'going the distance' not winning or riches; Adrian romance tender and mutual."", ""wealth"": ""Broke club fighter; the grind is the film"", ""agency"": ""Goes the distance by choice"", ""core"": ""Self-respect over victory"", ""music"": ""Gonna Fly Now"", ""inclusion"": ""Band 5/10 (neutral): working-class Philadelphia; Apollo an equal; neutral"", ""romance"": ""Adrian, tender and mutual""}",91,S,2,8190
American History X,1998,R,38,15,16,5,10,6,84,96,24,47,,"{""overall"": ""Working-class family; hate and deradicalization ARE the text; transformation through chosen confrontation with his own beliefs; brutal honest consequences."", ""wealth"": ""Working-class family"", ""agency"": ""Chooses transformation in prison"", ""core"": ""Hate and its unlearning"", ""music"": ""Score"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): racism and deradicalization are the text"", ""romance"": ""None central""}",90,S,-12,8640
Shawshank Redemption,1994,R,38,17,17,5,6,6,89,98,73,156,,"{""overall"": ""Ordinary man stripped of everything; escape earned through two decades of quiet depicted work - the ultimate grind; hope and friendship core is elite; no romance."", ""wealth"": ""Everything stripped; escape earned over decades"", ""agency"": ""Hope as a discipline"", ""core"": ""Hope, friendship, institutionalization"", ""music"": ""Score; one Mozart scene"", ""inclusion"": ""Band 6/10 (neutral): Red and the prison's shared humanity; neutral-plus"", ""romance"": ""None""}",89,A,-9,8722
Parasite,2019,R,36,15,14,5,7,5,99,90,263,326,,"{""overall"": ""Class critique IS the film; aspiration to wealth is punished and the system itself indicted; nobody glorified; othering-by-smell is inclusion examined."", ""wealth"": ""Class critique is the film; aspiration punished"", ""agency"": ""The Kims scheme brilliantly, then it collapses"", ""core"": ""Dignity and the smell of poverty"", ""music"": ""Score"", ""inclusion"": ""Band 7/10 (representation, not the lesson): othering-by-smell examined; class contempt made visible"", ""romance"": ""Peripheral""}",82,A,9,7380
Trainspotting,1996,R,36,12,12,9,4,3,90,93,72,145,,"{""overall"": ""Working-class Edinburgh; addiction rendered with honesty; 'choose life' irony; legendary soundtrack; agency compromised by the subject itself."", ""wealth"": ""Working-class Edinburgh"", ""agency"": ""Addiction compromises choice; Renton chooses life, ambiguously"", ""core"": ""Addiction without varnish"", ""music"": ""Legendary soundtrack"", ""inclusion"": ""Band 4/10 (homogeneous default / missed opportunity): underclass interiority is real but the world is homogeneous and the Diane subplot ages badly"", ""romance"": ""The Diane subplot is uncomfortable""}",76,A,-3,7068
There Will Be Blood,2007,R,32,16,13,5,4,6,91,86,76,116,,"{""overall"": ""Self-made grind depicted BUT wealth accumulation as total soul-destruction - cinema's harshest ambition critique; isolation as the wage of greed."", ""wealth"": ""Self-made grind as soul-destruction; the harshest critique"", ""agency"": ""Plainview wills everything into being"", ""core"": ""Ambition's wage is isolation"", ""music"": ""Greenwood score"", ""inclusion"": ""Band 4/10 (homogeneous default / missed opportunity): misanthropic and homogeneous by design; nothing taught"", ""romance"": ""None""}",76,A,5,6536
The Big Lebowski,1998,R,38,10,10,7,5,4,83,94,47,92,,"{""overall"": ""The Dude is the anti-wealth protagonist; the millionaire is a FRAUD (borrowed status, embezzled money); abiding over striving; low agency - things happen to him."", ""wealth"": ""The Dude is anti-wealth; the millionaire is a fraud"", ""agency"": ""Things happen to him; he abides"", ""core"": ""Abiding as philosophy, loosely"", ""music"": ""Dream-sequence soundtrack"", ""inclusion"": ""Band 5/10 (neutral): neutral"", ""romance"": ""Maude is transactional; odd""}",74,B,-11,6956
Pulp Fiction,1994,R,34,14,9,8,3,4,92,96,213,456,,"{""overall"": ""Working criminals, no inherited status; Jules's redemption thread carries the core; iconic needle drops; morally chaotic but status-indifferent."", ""wealth"": ""Working criminals; status-indifferent"", ""agency"": ""Jules chooses to walk the earth"", ""core"": ""One redemption thread carries it"", ""music"": ""Iconic needle drops"", ""inclusion"": ""Band 3/10 (harmful othering present): casual slurs and racialized menace present in the text, played for cool"", ""romance"": ""The Mia chapter; moderate""}",72,B,-4,6912
Titanic,1997,PG-13,30,13,12,7,6,3,88,69,2264,4483,,"{""overall"": ""Class is the architecture: steerage vs first class, Cal is wealth-as-villainy, Rose REJECTS the gilded cage; romance central but she ultimately saves herself."", ""wealth"": ""Class is the architecture; Rose rejects the gilded cage"", ""agency"": ""Rose chooses, twice"", ""core"": ""Freedom versus suffocation"", ""music"": ""Horner, and that song"", ""inclusion"": ""Band 6/10 (neutral): steerage humanized against first-class contempt; class empathy without a full lesson"", ""romance"": ""Central romance; she saves herself""}",71,B,19,4899
Fight Club,1999,R,36,13,12,5,3,2,81,96,101,192,,"{""overall"": ""Anti-consumerism as thesis ('things you own end up owning you'); identity critique; docked on inclusion (insular masculinity) and romance framing."", ""wealth"": ""Anti-consumerism as thesis"", ""agency"": ""The unreliable narrator undermines it"", ""core"": ""Identity and masculinity critique"", ""music"": ""Pixies finale"", ""inclusion"": ""Band 3/10 (harmful othering present): insular masculinity; Marla as a device; othering-lite present"", ""romance"": ""The Marla framing is poor""}",71,B,-15,6816
