title,year,mpaa,wealth,agency,core,music,inclusion,romance,rt_critic,rt_audience,revenue_musd,revenue_adj_musd,icon,commentary,total,tier,segment,critic_minus_audience,safe_bet_index
Coco,2017,PG,36,16,17,10,10,6,97.0,94.0,814.0,1050.0,,"{""overall"": ""Ordinary shoemaker-family kid; small dock for musical lineage plot device. Elite core (memory/death/family); fame exposed as fraud; Mexican culture centered; exclusion drives plot."", ""wealth"": ""Ordinary shoemaker family; small dock for the hereditary musical gift"", ""agency"": ""Miguel drives every beat; final rescue leans on Mama Coco's memory"", ""core"": ""Memory, death and family; elite"", ""music"": ""Diegetic, story-carrying songs"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): Mexican culture centered and exclusion drives the plot: Miguel othered by his family, the dead erased when forgotten"", ""romance"": ""None""}",95,S,kids,,
The Land Before Time,1988,G,40,16,17,5,10,6,73.0,72.0,84.0,225.0,,"{""overall"": ""Orphaned nobody on a refugee journey; kids solve everything; most honest grief in the genre; inter-species prejudice allegory is the plot engine; no songs."", ""wealth"": ""Orphaned nobody on a refugee journey"", ""agency"": ""Kids solve everything; spirit-guidance dock"", ""core"": ""The most honest grief in the genre"", ""music"": ""Beautiful score, no songs"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): inter-species prejudice ('three-horns never play with longnecks') dissolving is the plot engine"", ""romance"": ""None""}",94,S,kids,,
An American Tail,1986,G,40,14,16,8,10,6,71.0,66.0,84.0,244.0,,"{""overall"": ""Immigrant refugee mouse; prejudice and displacement are the whole text; Somewhere Out There carries story."", ""wealth"": ""Penniless immigrant family"", ""agency"": ""Fievel persists but is often swept along"", ""core"": ""Displacement and family separation, honest"", ""music"": ""Somewhere Out There carries story"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): immigration, displacement and prejudice are the whole text"", ""romance"": ""None""}",94,S,kids,,
The Iron Giant,1999,PG,40,16,17,5,9,6,96.0,90.0,31.0,59.0,,"{""overall"": ""Ordinary kid; fear-of-the-other is central; 'you are who you choose to be'; score only, no songs."", ""wealth"": ""Latchkey kid, waitress mom; fully ordinary"", ""agency"": ""Hogarth shapes events; the Giant makes the final choice"", ""core"": ""You are who you choose to be"", ""music"": ""Score only"", ""inclusion"": ""Band 9/10 (strong, secondary): Cold War fear-of-the-other is central; the other is a robot rather than a community"", ""romance"": ""None""}",93,S,kids,,
Moana,2016,PG,35,17,17,10,7,6,95.0,89.0,687.0,900.0,,"{""overall"": ""Chief's-daughter dock on inherited specialness; full agency; identity/belonging core; iconic songs; culture centered but homogeneous community with no prejudice examined."", ""wealth"": ""Chief's daughter; lineage and ocean-choosing dock"", ""agency"": ""Sails, fails, persists, solves by insight"", ""core"": ""Identity and belonging under expectation"", ""music"": ""Miranda's peak; every song advances story"", ""inclusion"": ""Band 7/10 (representation, not the lesson): Polynesian culture centered authentically; homogeneous community, no difference encountered"", ""romance"": ""None; comrades only""}",92,S,kids,,
Lilo & Stitch,2002,PG,40,15,17,6,8,6,86.0,78.0,273.0,480.0,,"{""overall"": ""Genuinely poor family with brutal honesty (CPS, job hunt); grief and chosen-family core; licensed Elvis soundtrack; destructive other loved into belonging."", ""wealth"": ""Genuinely poor; CPS threat and job hunt shown honestly"", ""agency"": ""Lilo and Nani act; Stitch resolves much"", ""core"": ""Grief and chosen family; ohana"", ""music"": ""Licensed Elvis plus Hawaiian tracks"", ""inclusion"": ""Band 8/10 (strong, secondary): a destructive other loved into belonging; unconventional family defended against the system"", ""romance"": ""None""}",92,S,kids,,
Mulan,1998,G,36,17,15,9,10,5,86.0,86.0,304.0,593.0,,"{""overall"": ""Ordinary family; depicted grind (training montage); saves China herself; gender prejudice confronted head-on; songs vanish in back half."", ""wealth"": ""Ordinary family; depicted training grind"", ""agency"": ""Saves China herself"", ""core"": ""Honor and identity; solid, not the deepest"", ""music"": ""Iconic songs vanish in the back half"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): gender prejudice confronted head-on: excluded for being a woman, proves the system wrong"", ""romance"": ""Shang secondary; light prize-adjacent dock""}",92,S,kids,,
The Wild Robot,2024,,38,15,17,8,8,6,,,,,,"{""overall"": ""The Wild Robot is a structurally rich film built around a genuinely ordinary (if artificial) protagonist who earns every relationship and survival skill through effort, failure, and adaptation. Its emotional core — grief, unconditional parenthood, identity, and belonging — is among the most honest in recent animated film. The protagonist's specialness is entirely constructed through action, not birth or status."", ""wealth"": ""Roz is a manufactured robot with no inherited status or wealth; her arc is entirely about what she does and who she becomes through labor and love, placing her firmly in the 40-band — docked only slightly because her manufactured origin gives her physical capabilities ordinary beings lack, doing a small amount of narrative work."", ""agency"": ""Roz drives nearly every major decision — adopting Brightbill, learning survival, choosing sacrifice, returning — but the climax involves significant external assistance from the island animals and a degree of destiny-adjacent design revelation, preventing a full 17."", ""core"": ""The film's emotional core is genuinely about unconditional love, grief, identity, and the fear of abandonment — Roz's journey as a mother who was never 'supposed' to be one is deeply honest and resonant, earning the top band."", ""music"": ""Kris Bowers's score is emotionally powerful and does real narrative work, and there are a small number of original songs (including a meaningful end-credits piece), but the film is not a musical and songs do not carry the story beat-by-beat, placing it in the strong-score-with-gaps band."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): The film meaningfully explores otherness, being an outsider who is accepted by a community through demonstrated love and sacrifice — Roz as 'other' is a consistent theme — but anti-prejudice is not the primary lesson so much as a strong undercurrent."", ""romance"": ""Romance is entirely absent from the narrative; Roz's central relationship is parental, not romantic, earning the full score.""}",92,S,kids,,
Spirited Away,2001,PG,40,17,16,5,7,6,97.0,96.0,396.0,709.0,,"{""overall"": ""Chihiro earns everything through literal labor; the anti-chosen-one; score only."", ""wealth"": ""Unremarkable ten-year-old; earns everything via literal labor"", ""agency"": ""Every solution hers; refuses free gold"", ""core"": ""Identity under erasure; keeping your name"", ""music"": ""Sublime score, no songs"", ""inclusion"": ""Band 7/10 (representation, not the lesson): No-Face redeemed rather than defeated; courtesy to the strange; secondary to Chihiro's arc"", ""romance"": ""Haku is a bond, not a prize""}",91,S,kids,,
Soul,2020,PG,38,15,17,8,7,6,95.0,87.0,121.0,149.0,,"{""overall"": ""Working teacher protagonist; purpose-vs-living core is elite; diegetic jazz; Black culture centered."", ""wealth"": ""Working teacher; 'spark' mechanics then demolished"", ""agency"": ""Owns his reckoning; body-swap contrivance dock"", ""core"": ""Purpose is not passion; a life over an achievement"", ""music"": ""Diegetic jazz with meaning"", ""inclusion"": ""Band 7/10 (representation, not the lesson): Black culture rendered with specificity (barbershop, tailor, jazz lineage); no prejudice examined"", ""romance"": ""None""}",91,S,kids,,
Zootopia,2016,PG,38,17,14,6,10,6,98.0,92.0,1024.0,1341.0,,"{""overall"": ""Farm kid with depicted academy grind; prejudice IS the mystery plot including Judy's own bias; core slightly thesis-over-feeling."", ""wealth"": ""Farm kid; academy grind depicted"", ""agency"": ""Solves it, breaks it, earns it back, apologizes"", ""core"": ""Thesis-forward but real"", ""music"": ""One Shakira anthem"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): prejudice is the mystery plot itself, including the heroine's own bias"", ""romance"": ""None; a partnership""}",91,S,kids,,
Kiki's Delivery Service,1989,,38,16,16,8,7,6,,,,,,"{""overall"": ""Kiki's Delivery Service is a quietly radical film about a young girl who builds a small business from nothing in a strange city, and whose central crisis is creative burnout and loss of identity rather than any external villain. The story endorses earned livelihood and self-reliance almost without qualification, and its emotional core — the relationship between confidence, creativity, and independence — is honest and specific."", ""wealth"": ""Kiki is an ordinary witch's daughter with no inherited advantage; she leaves home with a broom and a cat and earns every customer through her own labor, placing this firmly in the 40-band; a small deduction because her witch heritage is a mild born-into trait that enables the premise."", ""agency"": ""Kiki solves her own story almost entirely — she loses her power, diagnoses the cause herself through Ursula's mentorship, and recovers it through her own will in the climax — but Tombo's peril and Ursula's explicit guidance dilute pure solo agency just enough to keep it from a perfect 17."", ""core"": ""The film's emotional core is a precise and honest portrait of creative block, self-doubt, and the anxiety of independence in adolescence — closer to Inside Out's specificity than a standard adventure arc, landing just below the top band because the resolution is slightly underwritten."", ""music"": ""Joe Hisaishi's score is evocative and integral to the film's mood, but there are no original songs carrying narrative weight in the Western release; the score-only band applies, with a slight uplift for how effectively the music shapes emotional beats."", ""inclusion"": ""Band 7/10 (Meaningful representation, not the lesson): Kiki is a self-sufficient young woman in a world that treats her competence as unremarkable; gender is never an obstacle and the film quietly normalizes female entrepreneurship, but anti-prejudice is not the explicit lesson."", ""romance"": ""Romance is entirely absent as a goal or reward; Tombo is a friendly presence but the story never frames him as a prize or endpoint, placing this squarely in the 6-band.""}",91,S,kids,,
The Fox and the Hound,1981,,38,13,17,8,10,5,,,,,,"{""overall"": ""The Fox and the Hound is a genuinely ordinary-protagonist story about two animals whose friendship is destroyed by social conditioning and class expectation — an unusually honest and melancholy emotional core for a Disney film. The protagonists are not special by birth, the story is driven by real thematic weight about prejudice and lost innocence, and the anti-prejudice message is close to the film's structural center even if it is never fully resolved."", ""wealth"": ""Tod and Copper are an orphaned fox and a working hunting dog — no inherited status, no wealth reward, no ascension arc; the story could happen to any two animals, landing near the top of the band."", ""agency"": ""Both Tod and Copper make meaningful choices that drive the plot — Tod choosing to protect Copper at the climax, Copper choosing to shield Tod from Amos — but the resolution is also shaped by circumstance and the weight of their social roles rather than pure self-determined agency, placing this in the strong-but-split band."", ""core"": ""The film's emotional core is genuinely about the destruction of innocent friendship by societal prejudice and the roles we are forced into — grief, loss, and identity — which is deep and honest, just slightly less fully realized than the top anchor films."", ""music"": ""The film has a handful of original songs ('Best of Friends,' 'Goodbye May Seem Forever') that carry emotional beats but are sparse and uneven, falling between score-only and a full song-driven narrative."", ""inclusion"": ""Band 9/10 (strong anti-prejudice, close to the lesson): The entire film is structurally about how society teaches hatred between groups that are naturally friendly — prejudice-as-plot is the engine of the story, though it is framed through animal allegory rather than explicit human social categories."", ""romance"": ""A brief, gentle romance subplot with Vixey is present but entirely incidental to the main arc and carries no 'being chosen' framing as a reward.""}",91,S,kids,,
Up,2009,PG,40,16,17,5,7,6,98.0,90.0,735.0,1088.0,,"{""overall"": ""Working-class widower; married-life montage maxes emotional core; score only; Russell adds intergenerational inclusion."", ""wealth"": ""Working-class widower evicted by developers"", ""agency"": ""Chooses to let the house go"", ""core"": ""Married-life montage; grief resolved by choosing the living"", ""music"": ""Immortal theme, score only"", ""inclusion"": ""Band 7/10 (representation, not the lesson): intergenerational and cross-cultural friendship; not the lesson"", ""romance"": ""A complete marriage, honestly told""}",91,S,kids,,
