title,year,mpaa,wealth,agency,core,music,inclusion,romance,rt_critic,rt_audience,revenue_musd,revenue_adj_musd,icon,commentary,total,tier,segment,critic_minus_audience,safe_bet_index
E.T.,1982,PG,40,15,16,5,8,6,99,72,792,2614,,"{""overall"": ""Ordinary suburban kid of divorce; fear-of-the-other central; loneliness and connection core; score only."", ""wealth"": ""Suburban kid of divorce; painfully ordinary"", ""agency"": ""Shelters and frees E.T.; the alien does the flying"", ""core"": ""Loneliness finding connection; the divorce ache"", ""music"": ""The greatest score ever written; still no songs"", ""inclusion"": ""Band 8/10 (strong, secondary): children empathize with the other while institutions bring quarantine suits and guns"", ""romance"": ""None""}",90,S,kids,,
The Lion King,1994,G,4,13,14,10,2,5,93,93,968,2072,,"{""overall"": ""Divine right of kings as cosmic order - rain returns when correct bloodline rules; grief/guilt core genuinely strong; hyenas are a coded excluded underclass whose exclusion the happy ending restores; Nala is an equal."", ""wealth"": ""The divine right of kings as cosmic order"", ""agency"": ""Returns by choice; destiny does the rest"", ""core"": ""Grief and guilt, genuinely strong"", ""music"": ""Untouchable"", ""inclusion"": ""Band 2/10 (harmful othering present): the hyenas: a hungry underclass excluded by decree, urban-coded against a royal court, and the happy ending restores their exclusion"", ""romance"": ""Nala is an equal""}",48,C,kids,,
Snow White and the Seven Dwarfs,1937,G,2,2,3,8,4,0,97,78,418,2000,,"{""overall"": ""Cleans while waiting for a prince; poisoned by taking an apple; revived by a kiss she has no say in; only Sleeping Beauty is more passive."", ""wealth"": ""Royalty restored via rescue"", ""agency"": ""Cleans while waiting"", ""core"": ""Nearly none"", ""music"": ""Whistle While You Work"", ""inclusion"": ""Band 4/10 (homogeneous default / missed opportunity): homogeneous default; nothing taught, nothing degraded"", ""romance"": ""Revived by a kiss she has no say in""}",19,F,kids,,
Frozen II,2019,PG,16,17,15,9,8,6,77,92,1450,1798,,"{""overall"": ""Still born-royal; Northuldra colonialism reckoning earns real inclusion credit; Into the Unknown; grief-and-change core solid."", ""wealth"": ""Still born-royal; the powers now mythologized"", ""agency"": ""The sisters do the next right thing"", ""core"": ""Grief and change; solid"", ""music"": ""Into the Unknown"", ""inclusion"": ""Band 8/10 (strong, secondary): the Northuldra colonialism reckoning is real inclusion content; secondary to the sisters' arc"", ""romance"": ""Kristoff proposal comedy; harmless""}",71,B,kids,,
Frozen,2013,PG,16,17,17,10,4,6,90,85,1280,1741,,"{""overall"": ""Double inherited specialness (royal AND born with powers) but treated as burden; Anna's own act of true love; fear-vs-love core elite; actively demolishes marry-a-man-you-just-met; homogeneous world."", ""wealth"": ""Royal and born-magical; burden framing softens it"", ""agency"": ""Anna's own act of true love"", ""core"": ""Fear versus love; elite"", ""music"": ""Let It Go"", ""inclusion"": ""Band 4/10 (homogeneous default / missed opportunity): homogeneous world presented as default; the faint don't-fear-Elsa thread never becomes a community lesson"", ""romance"": ""Demolishes marry-a-man-you-just-met""}",70,B,kids,,
Finding Nemo,2003,G,40,14,17,5,7,6,99,86,940,1617,,"{""overall"": ""Ordinary fish; opens with maternal death; overprotective-parenting core is elite; agency split across three characters; lucky fin is quiet disability inclusion."", ""wealth"": ""Ordinary fish; nothing inherited but trauma"", ""agency"": ""Split three ways; everyone acts, no one owns it"", ""core"": ""Overprotection as love's failure mode"", ""music"": ""Score only"", ""inclusion"": ""Band 7/10 (representation, not the lesson): the lucky fin: disability as fact not lesson; Dory's difference as strength"", ""romance"": ""None""}",89,A,kids,,
Minions,2015,PG,34,10,5,6,5,6,55,49,1159,1541,,"{""overall"": ""Servile creatures whose life goal is serving a master - odd lesson; near-zero core; passive protagonists."", ""wealth"": ""Servility as life purpose; odd lesson"", ""agency"": ""Passive seekers of a master"", ""core"": ""Near zero"", ""music"": ""Licensed romp"", ""inclusion"": ""Band 5/10 (neutral): neutral"", ""romance"": ""None""}",66,B,kids,,
Zootopia,2016,PG,38,17,14,6,10,6,98,92,1024,1341,,"{""overall"": ""Farm kid with depicted academy grind; prejudice IS the mystery plot including Judy's own bias; core slightly thesis-over-feeling."", ""wealth"": ""Farm kid; academy grind depicted"", ""agency"": ""Solves it, breaks it, earns it back, apologizes"", ""core"": ""Thesis-forward but real"", ""music"": ""One Shakira anthem"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): prejudice is the mystery plot itself, including the heroine's own bias"", ""romance"": ""None; a partnership""}",91,S,kids,,
Bambi,1942,G,20,10,15,6,5,4,91,74,267,1300,,"{""overall"": ""Literally born 'the young prince'; passive maturation; mother's death is honest and devastating; nature reverence."", ""wealth"": ""Literally the young prince"", ""agency"": ""Passive maturation"", ""core"": ""The mother's death, devastating and honest"", ""music"": ""Modest songs"", ""inclusion"": ""Band 5/10 (neutral): neutral forest"", ""romance"": ""Twitterpated; mates as milestones""}",60,B,kids,,
Home Alone,1990,PG,28,17,12,5,7,6,66,80,476,1157,,"{""overall"": ""Affluent suburban household (dock) but Kevin solves everything himself; old-man-Marley fear-of-neighbor subplot dissolved; family-appreciation core."", ""wealth"": ""Affluent household dock"", ""agency"": ""Kevin solves everything himself"", ""core"": ""Family appreciated via absence"", ""music"": ""Williams score"", ""inclusion"": ""Band 7/10 (representation, not the lesson): old man Marley: the feared neighbor humanized and befriended"", ""romance"": ""None""}",75,A,kids,,
Titanic,1997,PG-13,30,13,12,7,6,3,88,69,2264,4483,,"{""overall"": ""Class is the architecture: steerage vs first class, Cal is wealth-as-villainy, Rose REJECTS the gilded cage; romance central but she ultimately saves herself."", ""wealth"": ""Class is the architecture; Rose rejects the gilded cage"", ""agency"": ""Rose chooses, twice"", ""core"": ""Freedom versus suffocation"", ""music"": ""Horner, and that song"", ""inclusion"": ""Band 6/10 (neutral): steerage humanized against first-class contempt; class empathy without a full lesson"", ""romance"": ""Central romance; she saves herself""}",71,B,adult,19.0,4899.0
The Godfather,1972,R,8,15,14,6,2,2,97,98,250,1900,,"{""overall"": ""Born into a crime dynasty - succession IS the plot; power inherited by blood; tragedy-framed but aesthetically glorified; women as acquisitions or exclusions."", ""wealth"": ""A crime dynasty; succession by blood"", ""agency"": ""Michael chooses his damnation"", ""core"": ""Family, and the corrosion of a soul"", ""music"": ""Iconic score"", ""inclusion"": ""Band 2/10 (harmful othering present): women as acquisitions and exclusions — Kay shut out behind a literal closing door; the insularity is celebrated as code"", ""romance"": ""Wives as acquisitions""}",47,C,adult,-1.0,4606.0
