title,year,mpaa,wealth,agency,core,music,inclusion,romance,rt_critic,rt_audience,revenue_musd,revenue_adj_musd,icon,commentary
Rocky,1976,,40,17,17,5,5,3,,,,,,"{""overall"": ""Rocky is the archetypal self-made underdog story: a broke club fighter from South Philly earns his shot through sheer grit, and the film's emotional reward is self-respect and proving he can 'go the distance,' not wealth or status. Every dimension scores near its ceiling because the story is genuinely about an ordinary man's interior life — dignity, love, and identity — rather than ascension or being chosen."", ""wealth"": ""Rocky Balboa is explicitly broke, works as a debt collector, and the story's endorsed reward is not money or status but the personal validation of lasting fifteen rounds — a textbook anchor for the 40-band."", ""agency"": ""Rocky drives every meaningful choice: he accepts the fight, trains obsessively on his own terms, and decides mid-fight to redefine his goal; no one rescues him or solves his story for him."", ""core"": ""The film's true subject is self-worth and the fear of being a 'bum' — Rocky's arc is entirely interior, about proving something to himself rather than winning, which is as honest and deep as the rubric's top band demands."", ""music"": ""The film relies on Bill Conti's iconic instrumental score rather than original songs that carry narrative; licensed/score-only band applies."", ""inclusion"": ""Band 5/10 (Neutral): The cast is a working-class Philadelphia milieu with no meaningful inclusion lesson and no group harmed; non-issue, non-lesson."", ""romance"": ""The relationship with Adrian is central and warmly depicted, but it is a mutual partnership that develops organically — it is not the prize Rocky is chasing, and he is not 'chosen' by her in a status sense; balanced presence warrants a 3.""}"
American History X,1998,,38,13,17,5,10,6,,,,,,"{""overall"": ""American History X is a structurally serious film about radicalization, deradicalization, and the cost of hate — its emotional core is genuine and its anti-prejudice thesis is the entire engine of the plot. Derek is a working-class nobody whose specialness is entirely self-made (for ill and then for good), and the story is fundamentally about identity, grief, and moral responsibility. The tragic ending reinforces that the lesson is never fully won, which deepens rather than undermines the core."", ""wealth"": ""Derek and Danny are ordinary working-class kids from Venice Beach; no inherited status or wealth does narrative work, and the story's reward is moral redemption rather than status ascension — firmly in the 'genuinely ordinary protagonist' band."", ""agency"": ""Derek drives his own arc through his own choices — joining the movement, committing violence, reconsidering in prison, and actively trying to pull Danny out — but the prison mentor Lamont and Dr. Sweeney do significant structural work in catalyzing his change, splitting the agency enough to pull below 17."", ""core"": ""The film's emotional core is identity, grief (the father's murder as the wound that opens Derek to radicalization), and the question of whether hate can be unlearned — this is deep, honest, and sustained throughout, earning the top band."", ""music"": ""The film uses score and licensed/diegetic music only; no original songs carry the narrative — standard score-only band."", ""inclusion"": ""Band 10/10 (inclusion/anti-prejudice IS the lesson): The entire plot is the mechanics and consequences of white supremacist radicalization and its undoing; anti-prejudice is not a secondary theme but the structural spine of the film."", ""romance"": ""Romance is essentially absent from the narrative structure; it plays no role in the protagonist's arc or reward — scores at the top of this dimension.""}"
Shawshank Redemption,1994,,38,15,17,5,4,6,,,,,,"{""overall"": ""Shawshank is a story about hope, dignity, and perseverance earned over nearly two decades of patient, deliberate effort — Andy's escape is entirely self-made through ingenuity and will. The emotional core is genuinely profound, but the world is a nearly all-male, predominantly white prison environment that presents that homogeneity as unremarkable default."", ""wealth"": ""Andy was a banker before prison, giving him modest born-into status (financial literacy, composure), but the story's endorsed reward is freedom and friendship, not wealth or status — the escape is earned over decades of grinding effort, placing this squarely in the 38 band alongside the rubric's own anchor score."", ""agency"": ""Andy solves his own story almost entirely — the tunnel, the letters, the evidence, the escape plan are all his — but Red's narration and Red's own arc share meaningful weight, and the warden's eventual exposure is partly luck of timing, pulling this just below a pure 17."", ""core"": ""The film's emotional core is deeply honest: hope as an act of defiance against institutional dehumanization, the cost of institutionalization, and the redemptive power of friendship — this is the rubric's top band without question."", ""music"": ""No original songs; Thomas Newman's score is atmospheric and effective but purely instrumental, placing this in the score-only band."", ""inclusion"": ""Band 4/10 (Passive Exclusion): The prison world is overwhelmingly male and the narrative centers white characters almost exclusively; no group is actively harmed or stereotyped, but the homogeneous world is presented as unremarkable default with no inclusion lesson offered."", ""romance"": ""Romance is entirely absent from the narrative; Andy's wife appears only as backstory motivation for his imprisonment, placing this firmly in the 6 band.""}"
Parasite,2019,,6,13,17,5,8,6,,,,,,"{""overall"": ""Parasite is a savage structural critique of class stratification in which the Kim family's ascension into the Park household is the engine of the plot but is explicitly framed as precarious, delusional, and ultimately catastrophic — the story endorses no one's climb and punishes the fantasy of status ascension with violence and tragedy. The emotional core is genuinely deep: it is about the dignity-destroying geometry of poverty and the invisible violence of wealth. The film scores low on wealth because status-climbing is the entire narrative engine and the endorsed outcome is ruin, not earned livelihood — it sits in the Goodfellas/Scarface band where the pursuit of status is the story's spine even if the ending is punitive."", ""wealth"": ""The Kims infiltrate a wealthy household through fraud and the entire plot is a status-ascension scheme; even though the ending is punitive rather than celebratory, the narrative structure is built around climbing into wealth, placing it firmly in the 0–10 band alongside Goodfellas and Scarface — the critique is present but the story's engine is the endorsed-then-destroyed climb."", ""agency"": ""Ki-woo and the Kim family make active, consequential choices that drive the plot, but the catastrophic climax is partly triggered by the hidden-basement revelation — an external discovery — and the resolution is shaped by forces (Mr. Park's disgust, Moon-gwang's husband) beyond their control, landing in the strong-but-split band."", ""core"": ""The film's emotional core is a rigorous, honest excavation of class shame, aspiration, and the dehumanising invisibility that poverty imposes — Ki-woo's final letter and Ki-taek's disappearance underground are among the most emotionally precise images in recent cinema, earning the top band."", ""music"": ""The film uses a composed orchestral score (Jung Jae-il) effectively but has no original songs and relies on score and selective diegetic music, placing it in the score-only band."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): Class as a form of systemic othering is central and rendered with specificity and empathy — the film humanises the poor without sentimentalising them and indicts the wealthy without caricature — but the primary lesson is class critique rather than a prejudice-as-plot anti-discrimination arc."", ""romance"": ""Romance is entirely absent as a narrative goal or reward; no character's arc is resolved through being chosen or married, earning the top band.""}"
Trainspotting,1996,,38,14,16,5,5,6,,,,,,"{""overall"": ""Trainspotting follows a genuinely ordinary working-class Edinburgh addict who ultimately chooses life and self-determination over the pull of heroin and his toxic social circle. The structure endorses Renton's hard-won, unglamorous escape — a small sum of stolen money representing freedom rather than status — and the emotional core is an unflinching portrait of addiction, identity, and the cost of choosing to live. No inherited specialness, no romantic prize, no status ascension."", ""wealth"": ""Renton is broke, low-status, and the story's endorsed reward is a modest cash escape and personal survival — closer to a livelihood outcome than any status ascension, firmly in the 38-40 band of genuinely ordinary protagonist."", ""agency"": ""Renton drives his own arc — he chooses to get clean, chooses to participate in the drug deal, and crucially chooses to betray his friends and walk away — but the final act is partly luck-assisted (the deal falling into place) and his earlier relapses show agency repeatedly undermined, landing in the strong-but-diluted band."", ""core"": ""The film's emotional core is a serious, honest reckoning with addiction as identity crisis — 'Choose life' is a genuine philosophical provocation — stopping just short of the deepest grief/belonging tier because the interiority, while vivid, is more satirical than emotionally excavated."", ""music"": ""The film uses a celebrated licensed soundtrack (Iggy Pop, Underworld, Blur, Pulp) that is atmospherically integral but not original story-carrying songs; score-only/licensed band applies."", ""inclusion"": ""Band 5/10 (Neutral): The cast is homogeneously white Scottish and no prejudice lesson is present, but no group is actively harmed or stereotyped — passive neutral."", ""romance"": ""Romance is entirely peripheral and never framed as a prize; Renton's brief relationship with Diane is a subplot with no narrative weight as a reward, placing this firmly in the absent/subverted band.""}"
There Will Be Blood,2007,,2,13,17,5,2,6,,,,,,"{""overall"": ""There Will Be Blood is a portrait of rapacious capitalism and spiritual corruption: Daniel Plainview claws his way from lone prospector to oil baron, and the story unambiguously endorses — or at least glorifies through fascination — the accumulation of wealth and dominance as the defining measure of a man. The emotional core is genuinely profound (greed as self-annihilation, the hollowness of the American Dream), but the structural reward is status and wealth ascension, landing it firmly in the lowest band."", ""wealth"": ""Plainview begins ordinary but the entire narrative arc is the endorsed spectacle of wealth and power accumulation with no meaningful critique that redeems the structure — the 'reward' is his empire, even as it destroys him, placing it near the Scarface/Wolf of Wall Street band (score: 2)."", ""agency"": ""Plainview drives virtually every plot development through his own ruthless choices, but the climax is somewhat destiny-of-character rather than a clean problem-solved resolution, and Eli Sunday's parallel arc dilutes the pure agency reading — strong but not a clean 17."", ""core"": ""The film's emotional core is a serious, honest excavation of greed, loneliness, misanthropy, and the corruption of the American self — as deep and unsparing as any in the rubric's top examples."", ""music"": ""Jonny Greenwood's score is a major artistic presence but it is purely instrumental/orchestral with no songs; score-only band applies."", ""inclusion"": ""Band 2/10 (harmful stereotyping present): The film's treatment of evangelical Christianity through Eli Sunday edges into othering and caricature, and the world is an almost entirely white male space presented as default with no counter-framing — passive exclusion plus active mockery of a religious group tips it below neutral."", ""romance"": ""Romance is entirely absent from the narrative; Plainview has no romantic arc whatsoever, earning the full subversion score.""}"
The Big Lebowski,1998,,30,13,13,5,4,6,,,,,,"{""overall"": ""The Dude is a gloriously ordinary, broke slacker whose story is explicitly a satire of wealth and ambition — the 'Big' Lebowski's status is exposed as hollow fraud, and The Dude's reward is simply returning to his bowling and White Russians. Agency is real but diluted by the Coens' labyrinthine plot machinery that frequently overwhelms his choices. The emotional core is genuine but oblique: it's about a man who refuses to be anything other than himself in a world demanding he perform ambition."", ""wealth"": ""Wealth and status are actively critiqued as hollow — the Big Lebowski is a fraud, his fortune is fake, and The Dude's 'reward' is his unchanged, penniless life; this lands squarely in the 30-band 'wealth critiqued as hollow' logic."", ""agency"": ""The Dude makes choices and drives the investigation, but the plot constantly overwhelms him with coincidence, mistaken identity, and forces entirely outside his control — strong but meaningfully diluted, placing him in the 13-band."", ""core"": ""Beneath the noir parody is a real, if understated, meditation on identity, male performance, and the dignity of opting out of ambition — real substance, but delivered obliquely rather than with deep emotional honesty."", ""music"": ""No original story-carrying songs; the film uses a rich licensed soundtrack (Eagles, CCR, Bob Dylan, Creedence) that flavors tone but does not carry narrative — score/licensed band at 5."", ""inclusion"": ""Band 4/10 (Passive Exclusion): The world is overwhelmingly white and male; Maude is a strong female character but Bunny and the nihilist's girlfriend are objectified; no group is actively degraded as spectacle but the homogeneous default and passive female objectification constitute a missed opportunity."", ""romance"": ""Romance is entirely absent as a goal or prize — The Dude has a casual sexual encounter with Maude that he is largely passive about, and no relationship is framed as a reward; this is effectively subverted by indifference.""}"
Pulp Fiction,1994,,6,13,13,5,2,6,,,,,,"{""overall"": ""Pulp Fiction is a non-linear crime anthology whose protagonists are working-level hitmen — not wealthy, not born into greatness — but the story's endorsed outcomes are survival and escape within a criminal status hierarchy, placing it near the bottom of the wealth/status band. Agency is split across multiple protagonists with luck and coincidence doing heavy narrative lifting (the miracle of the missed shots, Butch's chain of accidents). The emotional core has real substance — redemption, fate, loyalty, the question of whether one can walk away — but it is delivered obliquely rather than with the depth of a grief or identity arc."", ""wealth"": ""The protagonists are low-level mob employees and a broke boxer; no one is born into greatness, but survival within and escape from criminal status hierarchy is the endorsed reward, landing this near Goodfellas/Scarface territory (band: 0-6)."", ""agency"": ""Jules and Butch both make decisive, character-driven choices at their climaxes, but Vincent's arc is resolved by accident/death, Mia's overdose crisis is solved by others, and divine coincidence (the miracle) is structurally central — strong but meaningfully diluted, placing this in the 13 band."", ""core"": ""There is real thematic substance around redemption, signs from God, and the choice to walk away from violence (Jules's arc especially), but it is fragmented across anthology structure and never achieves the sustained emotional depth of a single honest core arc — solid 13."", ""music"": ""The film uses an iconic licensed soundtrack (surf rock, soul, pop) rather than original songs; the music is atmospheric and character-defining but functions as score/licensed selection, fitting the 5 band."", ""inclusion"": ""Band 2/10 (Harmful stereotyping present): The film contains active racial slurs used repeatedly by white characters framed as edgy rather than condemned, the 'gimp' sequence othering of a disabled/captive figure as spectacle, and Black characters who are disproportionately victimized or sexualized in ways the text does not critique — harmful stereotyping is present in the text."", ""romance"": ""No romance is framed as a prize or endpoint; Mia and Vincent's dynamic is deliberately unconsummated and subverted, and Butch's relationship with Fabienne is incidental to his arc — romance is present but not the reward, closer to the 6 band.""}"
Fight Club,1999,,32,8,17,5,4,3,,,,,,"{""overall"": ""Fight Club is a deeply thematic film whose emotional core — masculine identity crisis, consumerism as spiritual void, dissociation and self-destruction — is genuinely rich and honest. However, the Narrator's agency is severely compromised by the twist: he has been both protagonist and antagonist without knowing it, meaning the climax is partly solved by revelation rather than earned choice. The film actively critiques wealth and status accumulation, landing it in the 'critiqued as hollow' band."", ""wealth"": ""The entire narrative is a sustained, unambiguous critique of consumer culture and status as spiritual emptiness — the Narrator's IKEA-catalog life is the disease, not the reward — placing this firmly in the 'wealth/status critiqued as hollow' band around 30, nudged slightly up because the protagonist is a salaried everyman, not born into anything."", ""agency"": ""The Narrator does make a final decisive choice (shooting himself to kill Tyler), but the bulk of the story's driving force was enacted by a dissociated alter-ego he didn't know existed, making the solving heavily luck- and revelation-assisted rather than purely self-directed — split/destiny-assisted band."", ""core"": ""The film's emotional core is a genuine, unflinching examination of identity dissolution, masculine purposelessness, and the violence of self-loathing — this is as honest and deep as the top band warrants."", ""music"": ""The Dust Brothers' score is instrumental and atmospheric with no original narrative songs; licensed/score-only band applies."", ""inclusion"": ""Band 4/10 (Passive exclusion / homogeneous default): The world is almost entirely white and male, women are peripheral or sexualized (Marla is a plot device as much as a person), and no inclusion lesson is present; no active ethnic stereotyping but the passive exclusion and gendered othering of Marla nudge it to the lower end of this band."", ""romance"": ""Marla and the Narrator have a relationship, but it is framed as dysfunction and co-dependency rather than a prize; romance is present but clearly subordinate to the identity/destruction arc — balanced band.""}"
Titanic,1997,,8,13,17,8,4,0,,,,,,"{""overall"": ""Titanic is structurally a love story in which a poor young man briefly transcends class barriers through charm and luck, but the narrative's endorsed reward is Rose being 'chosen' by Jack and escaping her gilded cage — not through earned transformation but through romantic selection. The emotional core around mortality, identity, and freedom is genuinely deep, but the wealth dimension is complicated by the story glorifying Jack's ascension into first-class spaces and Rose's ultimate liberation being framed as romantic destiny rather than self-made agency."", ""wealth"": ""Jack is nominally poor but the story's engine is his access to wealth/status spaces via luck (winning the ticket) and charm, and the narrative endorses Rose's escape from oppressive wealth through being chosen by the right man — status-as-prize logic places this near the bottom band, not quite Cinderella but structurally adjacent."", ""agency"": ""Rose makes meaningful choices — refusing Cal, choosing Jack, surviving — but the inciting liberation is Jack's pursuit of her, and her survival at the climax depends heavily on Jack's sacrifice and others' rescue; strong but genuinely split between her choices and assembled rescue."", ""core"": ""The film's emotional core is authentically about identity, freedom, class imprisonment, and love in the face of death — Rose's arc from suffocating conformity to selfhood is honest and resonant, earning the top band."", ""music"": ""Celine Dion's 'My Heart Will Go On' is iconic but largely non-diegetic and end-credits placed; James Horner's score carries the film emotionally but original songs don't drive the narrative scene-by-scene the way Moana or Frozen songs do."", ""inclusion"": ""Band 4/10 (Passive Exclusion): The film's world is almost entirely white and the class critique, while present, does not extend to race or broader inclusion; third-class passengers are used as backdrop tragedy without individuated humanity, a missed opportunity that constitutes passive exclusion."", ""romance"": ""Being chosen by Jack — and the romantic union — is structurally the prize and the engine of Rose's liberation; marriage is not the endpoint but romantic selection absolutely is, placing this at 0.""}"
